study,group,participant,item,response,word,onset,exact,acceptable,response_regex,match1,spelling,suggestion,suggestion_regex,match2,accuracy
210510_do,english,doen01,algae_01,very,very,ve,ry,very,\bvery\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,algae_02,because,because,bec,ause,because,\bbecause\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,algae_03,make,make,ma,ke,make,\bmake\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,algae_04,when,which,wh,ich,which,\bwhen\b,FALSE,TRUE,NA,NA,NA,FALSE
210510_do,english,doen01,algae_05,need,need,ne,ed,need,\bneed\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,algae_06,breathe,breathe,bre,athe,breathe,\bbreathe\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,algae_07,seaweed,seaweed,sea,weed,seaweed,\bseaweed\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,algae_08,like,like,li,ke,like,\blike\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,algae_09,however,however,how,ever,however,\bhowever\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,algae_10,actually,actually,actu,ally,actually,\bactually\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,algae_11,nor,nor,n,or,nor,\bnor\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,algae_12,instead,instead,ins,tead,instead,\binstead\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,algae_13,believe,belong,bel,ong,belong,\bbelieve\b,FALSE,TRUE,NA,NA,NA,FALSE
210510_do,english,doen01,algae_14,grand,group,gr,oup,group,\bgrand\b,FALSE,TRUE,NA,NA,NA,FALSE
210510_do,english,doen01,algae_15,california,called,cal,led,called,\bcalifornia\b,FALSE,FALSE,"c(""California"", ""californium"")",\bCalifornia\b|\bcalifornium\b,FALSE,FALSE
210510_do,english,doen01,algae_16,they,there,th,ere,there,\bthey\b,FALSE,TRUE,NA,NA,NA,FALSE
210510_do,english,doen01,algae_17,made,many,ma,ny,many,\bmade\b,FALSE,TRUE,NA,NA,NA,FALSE
210510_do,english,doen01,algae_18,species,species,spe,cies,species,\bspecies\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,algae_19,types,types,ty,pes,types,\btypes\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,algae_20,more,most,mo,st,most,\bmore\b,FALSE,TRUE,NA,NA,NA,FALSE
210510_do,english,doen01,algae_21,bodies,bodies,bod,ies,bodies,\bbodies\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,algae_22,water,water,wa,ter,water,\bwater\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,algae_23,oceans,oceans,oce,ans,oceans,\boceans\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,algae_24,lakes,lakes,la,kes,lakes,\blakes\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,algae_25,ponds,ponds,po,nds,ponds,\bponds\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,noise_26,generated,generated,gene,rated,generated,\bgenerated\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,noise_27,industrial,industrial,indus,trial,industrial,\bindustrial\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,noise_28,workplaces,workplaces,workp,laces,workplaces,\bworkplaces\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,noise_29,comes,comes,co,mes,comes,\bcomes\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,noise_30,high,highway,hig,hway,highway,\bhigh\b,FALSE,TRUE,NA,NA,NA,FALSE
210510_do,english,doen01,noise_31,airplane,airplane,airp,lane,airplane,\bairplane\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,noise_32,construction,construction,constr,uction,construction,\bconstruction\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,noise_33,more,more,mo,re,more,\bmore\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,noise_34,mear,mere,me,re,mere,\bmear\b,FALSE,FALSE,"c(""mare"", ""mere"", ""ream"", ""near"", ""meat"", ""mar"", ""ear"", ""smear"", ""meas"", ""sear"", ""mean"", ""rear"", ""tear"", ""meal"", ""mead"")",\bmare\b|\bmere\b|\bream\b|\bnear\b|\bmeat\b|\bmar\b|\bear\b|\bsmear\b|\bmeas\b|\bsear\b|\bmean\b|\brear\b|\btear\b|\bmeal\b|\bmead\b,TRUE,TRUE
210510_do,english,doen01,noise_35,certain,certain,cer,tain,certain,\bcertain\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,noise_36,durable,durations,dura,tions,durations,\bdurable\b,FALSE,TRUE,NA,NA,NA,FALSE
210510_do,english,doen01,noise_37,physical,physical,phys,ical,physical,\bphysical\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,noise_38,earcanal,eardrum,ear,drum,eardrum,\bearcanal\b,FALSE,FALSE,"c(""ear canal"", ""ear-canal"", ""carnal"")",\bear canal\b|\bear-canal\b|\bcarnal\b,FALSE,FALSE
210510_do,english,doen01,noise_39,sensory,sensitive,sens,itive,sensitive,\bsensory\b,FALSE,TRUE,NA,NA,NA,FALSE
210510_do,english,doen01,noise_40,inner,inner,in,ner,inner,\binner\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,noise_41,respratory,result,res,ult,result,\brespratory\b,FALSE,FALSE,"c(""respiratory"", ""respirator"", ""preparatory"", ""prefatory"", ""predatory"")",\brespiratory\b|\brespirator\b|\bpreparatory\b|\bprefatory\b|\bpredatory\b,FALSE,FALSE
210510_do,english,doen01,noise_42,temperature,temporary,temp,orary,temporary,\btemperature\b,FALSE,TRUE,NA,NA,NA,FALSE
210510_do,english,doen01,noise_43,permanent,permanent,perm,anent,permanent,\bpermanent\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,noise_44,addition,addition,addi,tion,addition,\baddition\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,noise_45,raise,raise,ra,ise,raise,\braise\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,noise_46,pressure,pressure,pres,sure,pressure,\bpressure\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,noise_47,anxiety,anxiety,anx,iety,anxiety,\banxiety\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,noise_48,mental,mental,men,tal,mental,\bmental\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen01,noise_49,interfernig,interfere,inte,rfere,interfere,\binterfernig\b,FALSE,FALSE,"c(""interfering"", ""interference"", ""interferon"", ""interfere"", ""interlining"")",\binterfering\b|\binterference\b|\binterferon\b|\binterfere\b|\binterlining\b,TRUE,TRUE
210510_do,english,doen01,noise_50,sleep,sleep,sl,eep,sleep,\bsleep\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,algae_01,verry,very,ve,ry,very,\bverry\b,FALSE,FALSE,"c(""berry"", ""very"", ""terry"", ""merry"", ""ferry"", ""Terry"", ""Gerry"", ""Perry"", ""Berry"", ""Kerry"", ""verve"")",\bberry\b|\bvery\b|\bterry\b|\bmerry\b|\bferry\b|\bTerry\b|\bGerry\b|\bPerry\b|\bBerry\b|\bKerry\b|\bverve\b,TRUE,TRUE
210510_do,english,doen02,algae_02,because,because,bec,ause,because,\bbecause\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,algae_03,make,make,ma,ke,make,\bmake\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,algae_04,which,which,wh,ich,which,\bwhich\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,algae_05,need,need,ne,ed,need,\bneed\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,algae_06,breathe,breathe,bre,athe,breathe,\bbreathe\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,algae_07,seaweed,seaweed,sea,weed,seaweed,\bseaweed\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,algae_08,like,like,li,ke,like,\blike\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,algae_09,however,however,how,ever,however,\bhowever\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,algae_10,actually,actually,actu,ally,actually,\bactually\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,algae_11,nor,nor,n,or,nor,\bnor\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,algae_12,instead,instead,ins,tead,instead,\binstead\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,algae_13,belong,belong,bel,ong,belong,\bbelong\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,algae_14,group,group,gr,oup,group,\bgroup\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,algae_15,called,called,cal,led,called,\bcalled\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,algae_16,there,there,th,ere,there,\bthere\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,algae_17,many,many,ma,ny,many,\bmany\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,algae_18,species,species,spe,cies,species,\bspecies\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,algae_19,types,types,ty,pes,types,\btypes\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,algae_20,most,most,mo,st,most,\bmost\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,algae_21,bodies,bodies,bod,ies,bodies,\bbodies\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,algae_22,water,water,wa,ter,water,\bwater\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,algae_23,oceans,oceans,oce,ans,oceans,\boceans\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,algae_24,lakes,lakes,la,kes,lakes,\blakes\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,algae_25,ponds,ponds,po,nds,ponds,\bponds\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,noise_26,generated,generated,gene,rated,generated,\bgenerated\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,noise_27,industrial,industrial,indus,trial,industrial,\bindustrial\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,noise_28,workplaces,workplaces,workp,laces,workplaces,\bworkplaces\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,noise_29,comes,comes,co,mes,comes,\bcomes\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,noise_30,highway,highway,hig,hway,highway,\bhighway\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,noise_31,airport,airplane,airp,lane,airplane,\bairport\b,FALSE,TRUE,NA,NA,NA,FALSE
210510_do,english,doen02,noise_32,construction,construction,constr,uction,construction,\bconstruction\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,noise_33,more,more,mo,re,more,\bmore\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,noise_34,meer,mere,me,re,mere,\bmeer\b,FALSE,FALSE,"c(""mere"", ""meet"", ""meter"", ""seer"", ""leer"", ""meed"", ""deer"", ""peer"", ""beer"", ""veer"", ""meek"", ""weer"", ""me er"", ""me-er"", ""mercer"")",\bmere\b|\bmeet\b|\bmeter\b|\bseer\b|\bleer\b|\bmeed\b|\bdeer\b|\bpeer\b|\bbeer\b|\bveer\b|\bmeek\b|\bweer\b|\bme er\b|\bme-er\b|\bmercer\b,TRUE,TRUE
210510_do,english,doen02,noise_35,certain,certain,cer,tain,certain,\bcertain\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,noise_36,durations,durations,dura,tions,durations,\bdurations\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,noise_37,physical,physical,phys,ical,physical,\bphysical\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,noise_38,ears,eardrum,ear,drum,eardrum,\bears\b,FALSE,TRUE,NA,NA,NA,FALSE
210510_do,english,doen02,noise_39,sensory,sensitive,sens,itive,sensitive,\bsensory\b,FALSE,TRUE,NA,NA,NA,FALSE
210510_do,english,doen02,noise_40,inner,inner,in,ner,inner,\binner\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,noise_41,result,result,res,ult,result,\bresult\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,noise_42,temporary,temporary,temp,orary,temporary,\btemporary\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,noise_43,permanent,permanent,perm,anent,permanent,\bpermanent\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,noise_44,addition,addition,addi,tion,addition,\baddition\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,noise_45,raise,raise,ra,ise,raise,\braise\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,noise_46,pressure,pressure,pres,sure,pressure,\bpressure\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,noise_47,anxiety,anxiety,anx,iety,anxiety,\banxiety\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,noise_48,mental,mental,men,tal,mental,\bmental\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen02,noise_49,intensify,interfere,inte,rfere,interfere,\bintensify\b,FALSE,TRUE,NA,NA,NA,FALSE
210510_do,english,doen02,noise_50,slow,sleep,sl,eep,sleep,\bslow\b,FALSE,TRUE,NA,NA,NA,FALSE
210510_do,english,doen03,algae_01,very,very,ve,ry,very,\bvery\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,algae_02,because,because,bec,ause,because,\bbecause\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,algae_03,make,make,ma,ke,make,\bmake\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,algae_04,which,which,wh,ich,which,\bwhich\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,algae_05,need,need,ne,ed,need,\bneed\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,algae_06,breathe,breathe,bre,athe,breathe,\bbreathe\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,algae_07,seaweed,seaweed,sea,weed,seaweed,\bseaweed\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,algae_08,like,like,li,ke,like,\blike\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,algae_09,however,however,how,ever,however,\bhowever\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,algae_10,actually,actually,actu,ally,actually,\bactually\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,algae_11,nor,nor,n,or,nor,\bnor\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,algae_12,instead,instead,ins,tead,instead,\binstead\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,algae_13,belong,belong,bel,ong,belong,\bbelong\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,algae_14,group,group,gr,oup,group,\bgroup\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,algae_15,called,called,cal,led,called,\bcalled\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,algae_16,there,there,th,ere,there,\bthere\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,algae_17,many,many,ma,ny,many,\bmany\b,TRUE,NA,NA,NA,NA,TRUE
